FID,REPORTDATE,BLOCKADD,OFFENSE
161,2018-01-03 00:00:00,900 Block 28th St,Vandalism
162,2018-01-03 00:00:00,1200 Block Cedar Ave,Theft From Vehicle
163,2018-01-03 00:00:00,1700 Block Arapahoe Ave,Vandalism
164,2018-01-04 00:00:00,1400 Block Walnut St,Burglary
165,2017-09-30 00:00:00,900 Block 15th St,Vandalism
166,2017-10-21 00:00:00,2000 Block Mapleton Ave,Trespassing
167,2018-01-05 00:00:00,Crime occurred at an unknown location,Incident
168,2018-01-05 00:00:00,2500 Block 30th St,Theft From Vehicle
169,2018-01-05 00:00:00,2200 Block Baseline Rd,Theft From Vehicle
170,2017-12-30 00:00:00,1000 Block 14th St,Trespassing
171,2017-12-30 00:00:00,4700 Block Broadway,Auto Theft
172,2017-12-31 00:00:00,2500 Block Arapahoe Ave,Vandalism
173,2018-01-01 00:00:00,1400 Block Walnut St,Theft From Vehicle
174,2017-12-29 00:00:00,15th St & Spruce St,Trespassing
175,2017-12-29 00:00:00,2800 Block Mapleton St,Vandalism
176,2018-01-01 00:00:00,2300 Block South St,Auto Theft
177,2018-01-01 00:00:00,Broadway & Canyon Bv,Trespassing
178,2018-01-01 00:00:00,1500 Block Pearl St,Trespassing
179,2018-01-01 00:00:00,3600 Block Chase Ct,Vandalism
180,2018-01-02 00:00:00,3000 Block Center Green Dr,Robbery
181,2018-01-03 00:00:00,4700 Block Walnut St,Burglary
182,2018-01-03 00:00:00,1400 Block Walnut St,Trespassing
183,2018-01-01 00:00:00,1600 Block Broadway,Vandalism
184,2018-01-04 00:00:00,2100 Block 19th St,Incident
185,2018-01-04 00:00:00,4700 Block Arapahoe Ave,Trespassing
186,2018-01-04 00:00:00,6300 Block Diagonal Hwy,Theft From Vehicle
187,2018-01-04 00:00:00,1300 Block College Ave,Trespassing
188,2018-01-04 00:00:00,1300 Block College Ave,Trespassing
189,2018-01-01 00:00:00,700 Block 12th St,Burglary
190,2018-01-01 00:00:00,600 Block S 40th St,Incident
191,2018-01-01 00:00:00,2800 Block Mapleton St,Trespassing
192,2018-01-02 00:00:00,2400 Block Broadway,Burglary
193,2018-01-02 00:00:00,1100 Block Balsam Ave,Trespassing
194,2018-01-02 00:00:00,1300 Block Yarmouth Ave,Auto Theft
195,2018-01-02 00:00:00,2100 Block Central Ave,Burglary
196,2018-01-06 00:00:00,2900 Block Valmont Rd,Incident
197,2018-01-06 00:00:00,1600 Block Pine St,Trespassing
198,2018-01-06 00:00:00,Laramie Blvd & Pierre St,Incident
199,2018-01-07 00:00:00,1600 Block Arapahoe Ave,Trespassing
200,2018-01-05 00:00:00,4600 Block Broadway,Vandalism
201,2017-12-26 00:00:00,1200 Block Arapahoe Ave,Motorcycle Theft
202,2018-01-12 00:00:00,1500 Block Pearl St,Trespassing
203,2018-01-12 00:00:00,1000 Block 15th St,Theft From Vehicle
204,2018-01-12 00:00:00,1700 Block 30th St,Assault
205,2018-01-12 00:00:00,6600 Block Gunpark Dr,Trespassing
206,2018-01-12 00:00:00,3200 Block Madison Ave,Trespassing
207,2018-01-15 00:00:00,Broadway & Canyon Bv,Vandalism
208,2018-01-15 00:00:00,1900 Block Broadway,Vandalism
209,2018-01-16 00:00:00,1200 Block Canyon Bv,Vandalism
210,2017-12-29 00:00:00,4900 Block Baseline Rd,Trespassing
211,2018-01-01 00:00:00,2000 Block Walnut St,Vandalism
212,2018-01-02 00:00:00,700 Block Silver Lake Ave,Vandalism
213,2018-01-02 00:00:00,1000 Block Walnut St,Vandalism
214,2018-01-02 00:00:00,1900 Block Pearl St,Vandalism
215,2018-01-08 00:00:00,3100 Block Broadway,Burglary
216,2018-01-08 00:00:00,00 Block S 35th St,Vandalism
217,2018-01-08 00:00:00,2700 Block Glenwood Ct,Theft From Vehicle
218,2018-01-08 00:00:00,5300 Block Gunbarrel Center Ct,Trespassing
219,2018-01-08 00:00:00,1800 Block 29th St,Vandalism
220,2018-01-05 00:00:00,2900 Block Pearl St,Assault
